name,address,postcode,area_name,area_code,long,lat
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 224-226 Chorley Old Road, Bolton",BL1 3BW,Bolton,E08000001,-2.449811,53.586008
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 26 Market Street, Bolton",BL1 1BU,Bolton,E08000001,-2.42962,53.579081
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 33 Lee Lane, Horwich, Bolton",BL6 7AX,Bolton,E08000001,-2.546005,53.600016
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 3-4 Derby Shopping Centre, Cannon Street, Bolton",BL3 5BP,Bolton,E08000001,-2.442858,53.571168
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 34 Newport Street, Bolton",BL1 1NB,Bolton,E08000001,-2.42972,53.577031
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 36 Lee Lane, Horwich, Bolton",BL6 7AE,Bolton,E08000001,-2.547067,53.600335
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 36-38 Higher Market Street, Farnworth, Bolton",BL4 9AJ,Bolton,E08000001,-2.392043,53.546519
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 45-47 Deansgate, Bolton",BL1 1HQ,Bolton,E08000001,-2.429773,53.579491
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 521 Tonge Moor Road, Bolton",BL2 3BG,Bolton,E08000001,-2.411601,53.596123
Luxury Leisure,"Nobles Amusements, 30 Newport Street, Bolton",BL1 1NB,Bolton,E08000001,-2.42972,53.577031
Coral Racing Limited,"Coral Racing Ltd, 1 Newport Street, Bolton",BL1 1NE,Bolton,E08000001,-2.428875,53.577151
Coral Racing Limited,"Coral Racing Ltd, 290-292 Bury Road, Bolton",BL2 6AY,Bolton,E08000001,-2.406176,53.580331
Coral Racing Limited,"Coral Racing Ltd, 322 Crompton Way, Bolton",BL2 2NE,Bolton,E08000001,-2.406998,53.591914
Coral Racing Limited,"Coral Racing Ltd, 806 Bury Road, Bolton",BL2 6PA,Bolton,E08000001,-2.385653,53.580678
Mecca Bingo Limited,"Mecca Bingo, Breightmet Fold Lane, Bolton",BL2 6PP,Bolton,E08000001,-2.382316,53.582459
Mecca Bingo Limited,"Mecca Bingo, Moor Lane, Bolton",BL3 5DJ,Bolton,E08000001,-2.433416,53.575371
