Geography,Measure Type,Unit,Value
E01033686,count,households,12
E01005150,count,households,8
E01005151,count,households,2
E01005152,count,households,3
E01005159,count,households,2
E01005296,count,households,6
E01005299,count,households,12
E01005178,count,households,44
E01005179,count,households,20
E01005180,count,households,61
E01005181,count,households,17
E01005182,count,households,37
E01005183,count,households,53
E01005219,count,households,26
E01005220,count,households,28
E01005221,count,households,27
E01005222,count,households,48
E01005184,count,households,15
E01005185,count,households,4
E01005271,count,households,12
E01005282,count,households,25
E01005283,count,households,9
E01005154,count,households,2
E01005156,count,households,2
E01005158,count,households,20
E01005300,count,households,12
E01005301,count,households,9
E01005118,count,households,10
E01005120,count,households,26
E01005215,count,households,25
E01005216,count,households,8
E01005217,count,households,12
E01005218,count,households,8
E01005270,count,households,43
E01005272,count,households,74
E01005273,count,households,20
E01005278,count,households,13
E01005279,count,households,46
E01005305,count,households,9
E01005309,count,households,7
E01005310,count,households,25
E01005311,count,households,14
E01005312,count,households,8
E01005082,count,households,46
E01005153,count,households,13
E01005155,count,households,4
E01005157,count,households,4
E01005274,count,households,37
E01005275,count,households,7
E01005276,count,households,19
E01005277,count,households,3
E01005076,count,households,10
E01005081,count,households,74
E01005083,count,households,2
E01033670,count,households,7
E01033671,count,households,4
E01005125,count,households,46
E01005304,count,households,7
E01005306,count,households,4
E01005307,count,households,2
E01005308,count,households,43
E01005119,count,households,53
E01005121,count,households,41
E01005122,count,households,56
E01005123,count,households,79
E01005124,count,households,69
E01005077,count,households,68
E01005078,count,households,1
E01005079,count,households,38
E01005084,count,households,33
E01005172,count,households,2
E01005173,count,households,1
E01005174,count,households,2
E01005175,count,households,8
E01005176,count,households,6
E01005177,count,households,4
E01005115,count,households,41
E01005262,count,households,41
E01005264,count,households,35
E01005265,count,households,47
E01005266,count,households,59
E01005126,count,households,15
E01005168,count,households,6
E01005169,count,households,4
E01005170,count,households,11
E01005171,count,households,6
E01005263,count,households,12
E01005267,count,households,13
E01005268,count,households,4
E01005269,count,households,3
E01005069,count,households,8
E01005111,count,households,29
E01005113,count,households,35
E01005114,count,households,8
E01005116,count,households,25
E01005071,count,households,28
E01005072,count,households,44
E01005073,count,households,11
E01005112,count,households,41
E01005117,count,households,70
E01005085,count,households,52
E01005086,count,households,61
E01005089,count,households,71
E01005289,count,households,56
E01005295,count,households,32
E01005087,count,households,112
E01005088,count,households,79
E01005090,count,households,65
E01005091,count,households,89
E01005291,count,households,50
E01005068,count,households,55
E01005070,count,households,47
E01005074,count,households,25
E01005075,count,households,22
E01005319,count,households,70
E01005290,count,households,58
E01005292,count,households,48
E01005293,count,households,10
E01005294,count,households,14
E01005317,count,households,40
E01005313,count,households,45
E01005314,count,households,42
E01005315,count,households,45
E01005316,count,households,20
E01005318,count,households,42
E01005130,count,households,54
E01033651,count,households,4
E01033658,count,households,3
E01033664,count,households,1
E01033667,count,households,1
E01005128,count,households,2
E01033653,count,households,3
E01033654,count,households,1
E01033659,count,households,1
E01033661,count,households,2
E01005143,count,households,47
E01033655,count,households,1
E01033665,count,households,5
E01033676,count,households,63
E01005212,count,households,32
E01033656,count,households,2
E01033662,count,households,1
E01005142,count,households,53
E01005147,count,households,87
E01033674,count,households,17
E01033675,count,households,82
E01005213,count,households,51
E01033660,count,households,3
E01033672,count,households,33
E01033673,count,households,0
E01033677,count,households,1
E01033681,count,households,1
E01033682,count,households,0
E01033683,count,households,2
E01005357,count,households,8
E01005358,count,households,26
E01005359,count,households,4
E01005360,count,households,19
E01005441,count,households,31
E01005442,count,households,7
E01005444,count,households,26
E01005445,count,households,18
E01005361,count,households,6
E01005443,count,households,1
E01005446,count,households,14
E01005447,count,households,25
E01005390,count,households,11
E01005394,count,households,12
E01005395,count,households,12
E01005396,count,households,15
E01005355,count,households,14
E01005356,count,households,7
E01005399,count,households,6
E01005403,count,households,11
E01005410,count,households,3
E01005411,count,households,3
E01005414,count,households,5
E01005415,count,households,11
E01005452,count,households,3
E01005453,count,households,8
E01032558,count,households,65
E01032559,count,households,29
E01005391,count,households,9
E01005392,count,households,28
E01005393,count,households,5
E01005401,count,households,7
E01005397,count,households,12
E01005398,count,households,8
E01005400,count,households,26
E01005402,count,households,10
E01005335,count,households,9
E01005337,count,households,21
E01005339,count,households,2
E01005340,count,households,30
E01005421,count,households,60
E01005422,count,households,80
E01032920,count,households,45
E01005448,count,households,63
E01005449,count,households,35
E01005454,count,households,8
E01005455,count,households,18
E01005456,count,households,48
E01005407,count,households,3
E01005412,count,households,7
E01005416,count,households,6
E01005417,count,households,6
E01005348,count,households,34
E01005350,count,households,40
E01005432,count,households,54
E01005433,count,households,72
E01005329,count,households,5
E01005330,count,households,3
E01005333,count,households,2
E01005336,count,households,4
E01005349,count,households,39
E01005351,count,households,20
E01005352,count,households,21
E01005353,count,households,38
E01005354,count,households,24
E01005327,count,households,20
E01005328,count,households,27
E01005331,count,households,20
E01005334,count,households,6
E01005338,count,households,33
E01005387,count,households,11
E01005388,count,households,16
E01005389,count,households,52
E01005418,count,households,5
E01005428,count,households,36
E01005431,count,households,36
E01005450,count,households,46
E01005451,count,households,13
E01005408,count,households,7
E01005409,count,households,8
E01032922,count,households,15
E01005406,count,households,4
E01005413,count,households,5
E01005419,count,households,5
E01005420,count,households,10
E01005321,count,households,31
E01005326,count,households,19
E01005427,count,households,37
E01005429,count,households,38
E01005430,count,households,56
E01005320,count,households,43
E01005434,count,households,16
E01005437,count,households,22
E01005459,count,households,26
E01005383,count,households,49
E01005386,count,households,58
E01032556,count,households,8
E01032557,count,households,82
E01005342,count,households,32
E01005343,count,households,30
E01005344,count,households,47
E01005381,count,households,32
E01005332,count,households,43
E01005341,count,households,9
E01005345,count,households,6
E01005346,count,households,4
E01005347,count,households,15
E01005322,count,households,67
E01005323,count,households,40
E01005324,count,households,66
E01005325,count,households,40
E01005438,count,households,51
E01005377,count,households,50
E01005379,count,households,78
E01005380,count,households,63
E01005382,count,households,43
E01005439,count,households,17
E01005362,count,households,14
E01005364,count,households,13
E01005368,count,households,36
E01005376,count,households,40
E01005378,count,households,35
E01005363,count,households,29
E01005369,count,households,46
E01005370,count,households,25
E01005371,count,households,28
E01005365,count,households,8
E01005366,count,households,23
E01005367,count,households,8
E01005440,count,households,12
E01005372,count,households,18
E01005373,count,households,4
E01005374,count,households,18
E01005375,count,households,7
E01005435,count,households,20
E01005436,count,households,19
E01005460,count,households,53
E01005461,count,households,27
E01005462,count,households,21
E01005463,count,households,21
E01032921,count,households,49
E01005518,count,households,19
E01005520,count,households,22
E01005522,count,households,21
E01005523,count,households,13
E01005519,count,households,13
E01005594,count,households,10
E01005597,count,households,12
E01005598,count,households,7
E01005516,count,households,4
E01005517,count,households,7
E01005521,count,households,3
E01005596,count,households,14
E01005578,count,households,33
E01005579,count,households,42
E01005586,count,households,55
E01005593,count,households,38
E01005595,count,households,24
E01005489,count,households,22
E01005490,count,households,22
E01005491,count,households,17
E01005493,count,households,5
