wd16cd,wd16nm,lad16cd,lad16nm,wd11nm,all,no_qual,percent
E05000752,North Middleton,E08000005,Rochdale,North Middleton,7004,1433,20.5
E05000753,Smallbridge and Firgrove,E08000005,Rochdale,Smallbridge and Firgrove,7096,2098,29.6
E05000754,South Middleton,E08000005,Rochdale,South Middleton,6063,882,14.5
E05000755,Spotland and Falinge,E08000005,Rochdale,Spotland and Falinge,6793,1687,24.8
E05000756,Wardle and West Littleborough,E08000005,Rochdale,Wardle and West Littleborough,6839,945,13.8
E05000757,West Heywood,E08000005,Rochdale,West Heywood,7128,1756,24.6
E05000758,West Middleton,E08000005,Rochdale,West Middleton,7319,2389,32.6
E05000759,Barton,E08000006,Salford,Barton,8267,1788,21.6
E05000760,Boothstown and Ellenbrook,E08000006,Salford,Boothstown and Ellenbrook,6322,567,9
E05000761,Broughton,E08000006,Salford,Broughton,8618,2687,31.2
E05000762,Cadishead,E08000006,Salford,Cadishead,6599,1191,18
E05000763,Claremont,E08000006,Salford,Claremont,6558,843,12.9
E05000764,Eccles,E08000006,Salford,Eccles,7496,1177,15.7
E05000765,Irlam,E08000006,Salford,Irlam,5996,1112,18.5
E05000766,Irwell Riverside,E08000006,Salford,Irwell Riverside,10147,1779,17.5
E05000767,Kersal,E08000006,Salford,Kersal,7368,1575,21.4
E05000768,Langworthy,E08000006,Salford,Langworthy,9198,2407,26.2
E05000769,Little Hulton,E08000006,Salford,Little Hulton,7859,2167,27.6
E05000770,Ordsall,E08000006,Salford,Ordsall,12056,1408,11.7
E05000771,Pendlebury,E08000006,Salford,Pendlebury,8853,1976,22.3
E05000772,Swinton North,E08000006,Salford,Swinton North,7017,1379,19.7
E05000773,Swinton South,E08000006,Salford,Swinton South,7307,1235,16.9
E05000774,Walkden North,E08000006,Salford,Walkden North,7518,1673,22.3
E05000775,Walkden South,E08000006,Salford,Walkden South,6569,858,13.1
E05000776,Weaste and Seedley,E08000006,Salford,Weaste and Seedley,7848,1471,18.7
E05000777,Winton,E08000006,Salford,Winton,7843,1851,23.6
E05000778,Worsley,E08000006,Salford,Worsley,6135,407,6.6
E05000779,Bramhall North,E08000007,Stockport,Bramhall North,7941,521,6.6
E05000780,Bramhall South and Woodford,E08000007,Stockport,Bramhall South,6793,328,4.8
E05000781,Bredbury and Woodley,E08000007,Stockport,Bredbury and Woodley,8691,1264,14.5
E05000782,Bredbury Green and Romiley,E08000007,Stockport,Bredbury Green and Romiley,8438,1346,16
E05000783,Brinnington and Central,E08000007,Stockport,Brinnington and Central,10041,3023,30.1
E05000784,Cheadle and Gatley,E08000007,Stockport,Cheadle and Gatley,8871,843,9.5
E05000785,Cheadle Hulme North,E08000007,Stockport,Cheadle Hulme North,8176,869,10.6
E05000786,Cheadle Hulme South,E08000007,Stockport,Cheadle Hulme South,8458,625,7.4
E05000787,Davenport and Cale Green,E08000007,Stockport,Davenport and Cale Green,9701,1845,19
E05000788,Edgeley and Cheadle Heath,E08000007,Stockport,Edgeley and Cheadle Heath,9718,1606,16.5
E05000789,Hazel Grove,E08000007,Stockport,Hazel Grove,8556,889,10.4
E05000790,Heald Green,E08000007,Stockport,Heald Green,7658,941,12.3
E05000791,Heatons North,E08000007,Stockport,Heatons North,8570,757,8.8
E05000792,Heatons South,E08000007,Stockport,Heatons South,9227,796,8.6
E05000793,Manor,E08000007,Stockport,Manor,8994,1261,14
E05000794,Marple North,E08000007,Stockport,Marple North,7288,558,7.7
E05000795,Marple South,E08000007,Stockport,Marple South,6601,748,11.3
E05000796,Offerton,E08000007,Stockport,Offerton,8690,1329,15.3
E05000797,Reddish North,E08000007,Stockport,Reddish North,9594,1805,18.8
E05000798,Reddish South,E08000007,Stockport,Reddish South,9106,1422,15.6
E05000799,Stepping Hill,E08000007,Stockport,Stepping Hill,7683,656,8.5
E05000800,Ashton Hurst,E08000008,Tameside,Ashton Hurst,7230,1542,21.3
E05000801,Ashton St Michael's,E08000008,Tameside,Ashton St Michael's,7810,1598,20.5
E05000802,Ashton Waterloo,E08000008,Tameside,Ashton Waterloo,7312,1445,19.8
E05000803,Audenshaw,E08000008,Tameside,Audenshaw,7481,1306,17.5
E05000804,Denton North East,E08000008,Tameside,Denton North East,7347,1360,18.5
E05000805,Denton South,E08000008,Tameside,Denton South,6772,1547,22.8
E05000806,Denton West,E08000008,Tameside,Denton West,7153,1012,14.1
E05000807,Droylsden East,E08000008,Tameside,Droylsden East,7727,1519,19.7
E05000808,Droylsden West,E08000008,Tameside,Droylsden West,7387,1499,20.3
E05000809,Dukinfield,E08000008,Tameside,Dukinfield,8271,1830,22.1
E05000810,Dukinfield Stalybridge,E08000008,Tameside,Dukinfield Stalybridge,6993,1150,16.4
E05000811,Hyde Godley,E08000008,Tameside,Hyde Godley,7368,1639,22.2
E05000812,Hyde Newton,E08000008,Tameside,Hyde Newton,8838,1835,20.8
E05000813,Hyde Werneth,E08000008,Tameside,Hyde Werneth,7134,1212,17
E05000814,Longdendale,E08000008,Tameside,Longdendale,6296,1364,21.7
E05000815,Mossley,E08000008,Tameside,Mossley,7413,1052,14.2
E05000816,St Peter's,E08000008,Tameside,St Peter's,8217,2220,27
E05000817,Stalybridge North,E08000008,Tameside,Stalybridge North,8335,1639,19.7
